WKT,cat,capacity,origin_rd,origin_pt0
"POINT (161690.297944626247045 5405496.449642260558903)",203,20,1,0
"POINT (161678.89667473686859 5405496.449642260558903)",203,20,1,0
"POINT (157927.878881130862283 5405465.275154680944979)",204,20,1,0
"POINT (157916.477611241483828 5405621.147592579014599)",204,20,1,0
"POINT (157927.878881130862283 5405454.88365882076323)",205,20,1,0
"POINT (157927.878881130862283 5405465.275154680944979)",205,20,1,0
"POINT (157939.280151020240737 5405454.88365882076323)",206,20,1,0
"POINT (157927.878881130862283 5405454.88365882076323)",206,20,1,0
"POINT (158007.687770356511464 5405444.492162961512804)",207,20,1,0
"POINT (157939.280151020240737 5405454.88365882076323)",207,20,1,0
"POINT (158007.687770356511464 5405444.492162961512804)",208,20,1,0
"POINT (158600.553804604278412 5405569.1901132799685)",208,20,1,0
"POINT (160675.584924471448176 5405382.143187802284956)",209,20,1,0
"POINT (160983.419211484695552 5405704.279559457674623)",209,20,1,0
"POINT (160664.183654582069721 5405371.751691942103207)",210,20,1,0
"POINT (160105.521430002438137 5405527.624129840172827)",210,20,1,0
"POINT (160675.584924471448176 5405371.751691942103207)",211,20,1,0
"POINT (160664.183654582069721 5405371.751691942103207)",211,20,1,0
"POINT (160675.584924471448176 5405371.751691942103207)",212,20,1,0
"POINT (160675.584924471448176 5405382.143187802284956)",212,20,1,0
"POINT (162032.336041307658888 5405340.577204362489283)",213,20,1,0
"POINT (162214.756359537743265 5405517.232633979991078)",213,20,1,0
"POINT (159729.27952365289093 5405330.185708503238857)",214,20,1,0
"POINT (159717.878253763512475 5405330.185708503238857)",214,20,1,0
"POINT (159729.27952365289093 5405330.185708503238857)",215,20,1,0
"POINT (160105.521430002438137 5405527.624129840172827)",215,20,1,0
"POINT (162032.336041307658888 5405340.577204362489283)",216,20,1,0
"POINT (162214.756359537743265 5405517.232633979991078)",216,20,1,0
"POINT (159729.27952365289093 5405319.794212643057108)",217,20,1,0
"POINT (159729.27952365289093 5405330.185708503238857)",217,20,1,0
"POINT (166809.468124957871623 5405309.402716782875359)",218,20,1,0
"POINT (167026.092252856091363 5405600.364600859582424)",218,20,1,0
"POINT (166570.041457280894974 5405299.011220923624933)",219,20,1,0
"POINT (166136.793201484455494 5406348.552302768453956)",219,20,1,0
"POINT (166250.805900378269143 5407200.654963276349008)",219,20,1,0
"POINT (165714.946215577394469 5407169.480475697666407)",219,20,1,0
"POINT (165065.073831882735249 5408198.238565823063254)",219,20,1,0
"POINT (166809.468124957871623 5405299.011220923624933)",220,20,1,0
"POINT (166798.066855068493169 5405299.011220923624933)",220,20,1,0
"POINT (166809.468124957871623 5405299.011220923624933)",221,20,1,0
"POINT (166809.468124957871623 5405309.402716782875359)",221,20,1,0
"POINT (157517.433165113179712 5405506.841138120740652)",222,20,1,0
"POINT (157540.235704891936621 5405288.619725063443184)",222,20,1,0
"POINT (157927.878881130862283 5405454.88365882076323)",222,20,1,0
"POINT (166570.041457280894974 5405288.619725063443184)",223,20,1,0
"POINT (166570.041457280894974 5405299.011220923624933)",223,20,1,0
"POINT (166581.442727170273429 5405288.619725063443184)",224,20,1,0
"POINT (166570.041457280894974 5405288.619725063443184)",224,20,1,0
"POINT (166695.455426064087078 5405278.228229203261435)",225,20,1,0
"POINT (166581.442727170273429 5405288.619725063443184)",225,20,1,0
"POINT (166706.856695953465533 5405278.228229203261435)",226,20,1,0
"POINT (166695.455426064087078 5405278.228229203261435)",226,20,1,0
"POINT (166706.856695953465533 5405278.228229203261435)",227,20,1,0
"POINT (166798.066855068493169 5405299.011220923624933)",227,20,1,0
"POINT (166695.455426064087078 5405267.836733344011009)",228,20,1,0
"POINT (166695.455426064087078 5405278.228229203261435)",228,20,1,0
"POINT (158110.299199360946659 5405257.44523748382926)",229,20,1,0
"POINT (158007.687770356511464 5405444.492162961512804)",229,20,1,0
"POINT (167276.920190422446467 5405257.44523748382926)",230,20,1,0
"POINT (166809.468124957871623 5405299.011220923624933)",230,20,1,0
"POINT (167288.321460311824922 5405257.44523748382926)",231,20,1,0
"POINT (167276.920190422446467 5405257.44523748382926)",231,20,1,0
"POINT (161861.316992966952967 5405247.053741623647511)",232,20,1,0
"POINT (161690.297944626247045 5405496.449642260558903)",232,20,1,0
"POINT (161861.316992966952967 5405247.053741623647511)",233,20,1,0
"POINT (162032.336041307658888 5405340.577204362489283)",233,20,1,0
"POINT (167276.920190422446467 5405247.053741623647511)",234,20,1,0
"POINT (167276.920190422446467 5405257.44523748382926)",234,20,1,0
"POINT (159227.623648520180723 5405174.313270605169237)",235,20,1,0
"POINT (159022.400790511339437 5405673.105071878060699)",235,20,1,0
"POINT (159398.642696860886645 5405163.921774744987488)",236,20,1,0
"POINT (159227.623648520180723 5405174.313270605169237)",236,20,1,0
"POINT (159398.642696860886645 5405163.921774744987488)",237,20,1,0
"POINT (159717.878253763512475 5405330.185708503238857)",237,20,1,0
"POINT (158862.78301206001197 5405153.530278885737062)",238,20,1,0
"POINT (158646.15888416179223 5405527.624129840172827)",238,20,1,0
"POINT (160937.814131927181734 5405153.530278885737062)",239,20,1,0
"POINT (160675.584924471448176 5405371.751691942103207)",239,20,1,0
"POINT (160937.814131927181734 5405153.530278885737062)",240,20,1,0
"POINT (161211.444609272293746 5405662.71357601787895)",240,20,1,0
"POINT (158862.78301206001197 5405143.138783025555313)",241,20,1,0
"POINT (158862.78301206001197 5405153.530278885737062)",241,20,1,0
"POINT (158874.184281949390424 5405143.138783025555313)",242,20,1,0
"POINT (158862.78301206001197 5405143.138783025555313)",242,20,1,0
"POINT (152763.103621241723886 5405122.355791306123137)",243,20,1,0
"POINT (152820.109970688616158 5405278.228229203261435)",243,20,1,0
"POINT (152763.103621241723886 5405111.964295445941389)",244,20,1,0
"POINT (152763.103621241723886 5405122.355791306123137)",244,20,1,0
"POINT (152774.50489113110234 5405111.964295445941389)",245,20,1,0
"POINT (152763.103621241723886 5405111.964295445941389)",245,20,1,0
"POINT (161918.323342413845239 5405101.57279958575964)",246,20,1,0
"POINT (161861.316992966952967 5405247.053741623647511)",246,20,1,0
"POINT (165885.965263918100391 5405101.57279958575964)",247,20,1,0
"POINT (166570.041457280894974 5405288.619725063443184)",247,20,1,0
"POINT (165885.965263918100391 5405091.181303726509213)",248,20,1,0
"POINT (165874.563994028721936 5405091.181303726509213)",248,20,1,0
"POINT (165885.965263918100391 5405091.181303726509213)",249,20,1,0
"POINT (165885.965263918100391 5405101.57279958575964)",249,20,1,0
"POINT (154838.134741108864546 5405070.398312006145716)",250,20,1,0
"POINT (155465.204585024766857 5406369.335294488817453)",250,20,1,0
"POINT (159193.419838852045359 5405070.398312006145716)",251,20,1,0
"POINT (159227.623648520180723 5405174.313270605169237)",251,20,1,0
"POINT (154838.134741108864546 5405060.006816146895289)",252,20,1,0
"POINT (154826.733471219486091 5405060.006816146895289)",252,20,1,0
"POINT (154838.134741108864546 5405060.006816146895289)",253,20,1,0
"POINT (154838.134741108864546 5405070.398312006145716)",253,20,1,0
"POINT (158771.572852944984334 5405060.006816146895289)",254,20,1,0
"POINT (158862.78301206001197 5405143.138783025555313)",254,20,1,0
"POINT (158771.572852944984334 5405049.615320286713541)",255,20,1,0
"POINT (158760.171583055605879 5405049.615320286713541)",255,20,1,0
"POINT (158771.572852944984334 5405049.615320286713541)",256,20,1,0
"POINT (158771.572852944984334 5405060.006816146895289)",256,20,1,0
"POINT (158976.795710953825619 5405049.615320286713541)",257,20,1,0
"POINT (158874.184281949390424 5405143.138783025555313)",257,20,1,0
"POINT (158988.196980843204074 5405049.615320286713541)",258,20,1,0
"POINT (158976.795710953825619 5405049.615320286713541)",258,20,1,0
"POINT (158988.196980843204074 5405049.615320286713541)",259,20,1,0
"POINT (159193.419838852045359 5405070.398312006145716)",259,20,1,0
"POINT (160994.820481374074006 5405049.615320286713541)",260,20,1,0
"POINT (160937.814131927181734 5405153.530278885737062)",260,20,1,0
"POINT (160994.820481374074006 5405049.615320286713541)",261,20,1,0
"POINT (161678.89667473686859 5405496.449642260558903)",261,20,1,0
"POINT (153378.772195268247742 5405039.223824427463114)",262,20,1,0
"POINT (152774.50489113110234 5405111.964295445941389)",262,20,1,0
"POINT (153390.173465157626197 5405039.223824427463114)",263,20,1,0
"POINT (153378.772195268247742 5405039.223824427463114)",263,20,1,0
"POINT (153937.434419847850222 5405039.223824427463114)",264,20,1,0
"POINT (153390.173465157626197 5405039.223824427463114)",264,20,1,0
"POINT (153948.835689737228677 5405039.223824427463114)",265,20,1,0
"POINT (153937.434419847850222 5405039.223824427463114)",265,20,1,0
"POINT (158634.757614272413775 5405039.223824427463114)",266,20,1,0
"POINT (158110.299199360946659 5405257.44523748382926)",266,20,1,0
"POINT (158646.15888416179223 5405039.223824427463114)",267,20,1,0
"POINT (158634.757614272413775 5405039.223824427463114)",267,20,1,0
"POINT (158646.15888416179223 5405039.223824427463114)",268,20,1,0
"POINT (158760.171583055605879 5405049.615320286713541)",268,20,1,0
"POINT (158976.795710953825619 5405039.223824427463114)",269,20,1,0
"POINT (158976.795710953825619 5405049.615320286713541)",269,20,1,0
"POINT (153378.772195268247742 5405028.832328567281365)",270,20,1,0
"POINT (153378.772195268247742 5405039.223824427463114)",270,20,1,0
"POINT (153937.434419847850222 5405028.832328567281365)",271,20,1,0
"POINT (153937.434419847850222 5405039.223824427463114)",271,20,1,0
"POINT (158634.757614272413775 5405028.832328567281365)",272,20,1,0
"POINT (158634.757614272413775 5405039.223824427463114)",272,20,1,0
"POINT (168622.270037369278725 5405018.440832707099617)",273,20,1,0
"POINT (167288.321460311824922 5405257.44523748382926)",273,20,1,0
"POINT (168633.67130725865718 5405018.440832707099617)",274,20,1,0
"POINT (168622.270037369278725 5405018.440832707099617)",274,20,1,0
"POINT (168633.67130725865718 5405018.440832707099617)",275,20,1,0
"POINT (169842.205915532947984 5405527.624129840172827)",275,20,1,0
"POINT (168622.270037369278725 5405008.04933684784919)",276,20,1,0
"POINT (168622.270037369278725 5405018.440832707099617)",276,20,1,0
"POINT (151919.409649427601835 5404997.657840987667441)",277,20,1,0
"POINT (152056.224888100172393 5405132.747287165373564)",277,20,1,0
"POINT (153937.434419847850222 5404987.266345127485693)",278,20,1,0
"POINT (153937.434419847850222 5405028.832328567281365)",278,20,1,0
"POINT (155488.007124803523766 5404976.874849268235266)",279,20,1,0
"POINT (154838.134741108864546 5405060.006816146895289)",279,20,1,0
"POINT (155488.007124803523766 5404976.874849268235266)",280,20,1,0
"POINT (155510.809664582309779 5405932.892468374222517)",280,20,1,0
"POINT (159307.432537745829904 5404966.483353408053517)",281,20,1,0
"POINT (159193.419838852045359 5405070.398312006145716)",281,20,1,0
"POINT (159318.833807635208359 5404966.483353408053517)",282,20,1,0
"POINT (159307.432537745829904 5404966.483353408053517)",282,20,1,0
"POINT (159318.833807635208359 5404966.483353408053517)",283,20,1,0
"POINT (159398.642696860886645 5405163.921774744987488)",283,20,1,0
"POINT (154507.49791431686026 5404956.091857547871768)",284,20,1,0
"POINT (153948.835689737228677 5405039.223824427463114)",284,20,1,0
"POINT (154507.49791431686026 5404956.091857547871768)",285,20,1,0
"POINT (154826.733471219486091 5405060.006816146895289)",285,20,1,0
"POINT (159307.432537745829904 5404956.091857547871768)",286,20,1,0
"POINT (159307.432537745829904 5404966.483353408053517)",286,20,1,0
"POINT (158885.585551838768879 5404945.700361688621342)",287,20,1,0
"POINT (158771.572852944984334 5405049.615320286713541)",287,20,1,0
"POINT (155533.612204361066688 5404935.308865828439593)",288,20,1,0
"POINT (155488.007124803523766 5404976.874849268235266)",288,20,1,0
"POINT (158885.585551838768879 5404935.308865828439593)",289,20,1,0
"POINT (158885.585551838768879 5404945.700361688621342)",289,20,1,0
"POINT (158896.986821728147333 5404935.308865828439593)",290,20,1,0
"POINT (158885.585551838768879 5404935.308865828439593)",290,20,1,0
"POINT (158931.190631396311801 5404935.308865828439593)",291,20,1,0
"POINT (158896.986821728147333 5404935.308865828439593)",291,20,1,0
"POINT (158942.591901285690255 5404935.308865828439593)",292,20,1,0
"POINT (158931.190631396311801 5404935.308865828439593)",292,20,1,0
"POINT (158942.591901285690255 5404935.308865828439593)",293,20,1,0
"POINT (158976.795710953825619 5405039.223824427463114)",293,20,1,0
"POINT (158942.591901285690255 5404924.917369968257844)",294,20,1,0
"POINT (158942.591901285690255 5404935.308865828439593)",294,20,1,0
"POINT (163890.743033276579808 5404914.525874109007418)",295,20,1,0
"POINT (163081.252871130622225 5406047.198922832496464)",295,20,1,0
"POINT (158634.757614272413775 5405028.832328567281365)",296,20,1,0
"POINT (158885.585551838768879 5404935.308865828439593)",296,20,1,0
"POINT (152478.071874007204315 5404841.785403089597821)",297,20,1,0
"POINT (152478.071874007204315 5404883.351386529393494)",297,20,1,0
"POINT (152478.071874007204315 5404831.393907230347395)",298,20,1,0
"POINT (152478.071874007204315 5404841.785403089597821)",298,20,1,0
"POINT (152489.473143896611873 5404831.393907230347395)",299,20,1,0
"POINT (152478.071874007204315 5404831.393907230347395)",299,20,1,0
"POINT (152489.473143896611873 5404831.393907230347395)",300,20,1,0
"POINT (152763.103621241723886 5405111.964295445941389)",300,20,1,0
"POINT (154598.708073431887897 5404821.002411370165646)",301,20,1,0
"POINT (154507.49791431686026 5404956.091857547871768)",301,20,1,0
"POINT (154632.911883100052364 5404821.002411370165646)",302,20,1,0
"POINT (154598.708073431887897 5404821.002411370165646)",302,20,1,0
"POINT (156742.146812635328388 5404800.219419650733471)",303,20,1,0
"POINT (155841.446491374314064 5405953.675460094586015)",303,20,1,0
"POINT (159033.802060400717892 5404800.219419650733471)",304,20,1,0
"POINT (158942.591901285690255 5404924.917369968257844)",304,20,1,0
"POINT (162055.138581086415797 5404800.219419650733471)",305,20,1,0
"POINT (161918.323342413845239 5405101.57279958575964)",305,20,1,0
"POINT (162055.138581086415797 5404789.827923790551722)",306,20,1,0
"POINT (162043.737311197037343 5404789.827923790551722)",306,20,1,0
"POINT (162055.138581086415797 5404789.827923790551722)",307,20,1,0
"POINT (162055.138581086415797 5404800.219419650733471)",307,20,1,0
"POINT (159284.629997967072995 5404779.436427930369973)",308,20,1,0
"POINT (159033.802060400717892 5404800.219419650733471)",308,20,1,0
"POINT (159284.629997967072995 5404779.436427930369973)",309,20,1,0
"POINT (159307.432537745829904 5404956.091857547871768)",309,20,1,0
"POINT (167117.302411971148103 5404769.044932071119547)",310,20,1,0
"POINT (166695.455426064087078 5405267.836733344011009)",310,20,1,0
"POINT (167117.302411971148103 5404769.044932071119547)",311,20,1,0
"POINT (167276.920190422446467 5405247.053741623647511)",311,20,1,0
"POINT (161439.470007059891941 5404758.653436210937798)",312,20,1,0
"POINT (161918.323342413845239 5405101.57279958575964)",312,20,1,0
"POINT (150916.097899162152316 5404748.261940350756049)",313,20,1,0
"POINT (150950.30170883028768 5404976.874849268235266)",313,20,1,0
"POINT (151919.409649427601835 5404997.657840987667441)",313,20,1,0
"POINT (158190.108088586595841 5404748.261940350756049)",314,20,1,0
"POINT (158110.299199360946659 5405257.44523748382926)",314,20,1,0
"POINT (161439.470007059891941 5404748.261940350756049)",315,20,1,0
"POINT (161428.068737170513486 5404748.261940350756049)",315,20,1,0
"POINT (161439.470007059891941 5404748.261940350756049)",316,20,1,0
"POINT (161439.470007059891941 5404758.653436210937798)",316,20,1,0
"POINT (165008.067482435842976 5404748.261940350756049)",317,20,1,0
"POINT (163503.09985703768325 5406722.646153723821044)",317,20,1,0
"POINT (151919.409649427601835 5404997.657840987667441)",318,20,1,0
"POINT (152478.071874007204315 5404831.393907230347395)",318,20,1,0
"POINT (164016.157002059771912 5404737.870444491505623)",319,20,1,0
"POINT (163890.743033276579808 5404914.525874109007418)",319,20,1,0
"POINT (165008.067482435842976 5404737.870444491505623)",320,20,1,0
"POINT (165008.067482435842976 5404748.261940350756049)",320,20,1,0
"POINT (165019.468752325221431 5404737.870444491505623)",321,20,1,0
"POINT (165008.067482435842976 5404737.870444491505623)",321,20,1,0
"POINT (165019.468752325221431 5404737.870444491505623)",322,20,1,0
"POINT (165874.563994028721936 5405091.181303726509213)",322,20,1,0
"POINT (161291.253498497942928 5404696.30446105170995)",323,20,1,0
"POINT (160994.820481374074006 5405049.615320286713541)",323,20,1,0
"POINT (161302.654768387321383 5404696.30446105170995)",324,20,1,0
"POINT (161291.253498497942928 5404696.30446105170995)",324,20,1,0
"POINT (161302.654768387321383 5404696.30446105170995)",325,20,1,0
"POINT (161428.068737170513486 5404748.261940350756049)",325,20,1,0
"POINT (161302.654768387321383 5404685.912965191528201)",326,20,1,0
"POINT (161302.654768387321383 5404696.30446105170995)",326,20,1,0
"POINT (161530.680166174948681 5404665.129973472096026)",327,20,1,0
"POINT (161439.470007059891941 5404748.261940350756049)",327,20,1,0
"POINT (164221.379860068613198 5404665.129973472096026)",328,20,1,0
"POINT (164016.157002059771912 5404737.870444491505623)",328,20,1,0
"POINT (161530.680166174948681 5404654.738477611914277)",329,20,1,0
"POINT (161530.680166174948681 5404665.129973472096026)",329,20,1,0
"POINT (161542.081436064327136 5404654.738477611914277)",330,20,1,0
"POINT (161530.680166174948681 5404654.738477611914277)",330,20,1,0
"POINT (161542.081436064327136 5404654.738477611914277)",331,20,1,0
"POINT (162043.737311197037343 5404789.827923790551722)",331,20,1,0
"POINT (164221.379860068613198 5404654.738477611914277)",332,20,1,0
"POINT (164221.379860068613198 5404665.129973472096026)",332,20,1,0
"POINT (164232.781129957991652 5404654.738477611914277)",333,20,1,0
"POINT (164221.379860068613198 5404654.738477611914277)",333,20,1,0
"POINT (159649.470634427241748 5404644.346981752663851)",334,20,1,0
"POINT (159284.629997967072995 5404779.436427930369973)",334,20,1,0
"POINT (159649.470634427241748 5404644.346981752663851)",335,20,1,0
"POINT (159729.27952365289093 5405319.794212643057108)",335,20,1,0
"POINT (159649.470634427241748 5404592.389502453617752)",336,20,1,0
"POINT (159649.470634427241748 5404644.346981752663851)",336,20,1,0
"POINT (161336.85857805548585 5404581.998006593436003)",337,20,1,0
"POINT (161302.654768387321383 5404685.912965191528201)",337,20,1,0
"POINT (161336.85857805548585 5404581.998006593436003)",338,20,1,0
"POINT (161530.680166174948681 5404654.738477611914277)",338,20,1,0
"POINT (162169.151279980200343 5404581.998006593436003)",339,20,1,0
"POINT (162055.138581086415797 5404789.827923790551722)",339,20,1,0
"POINT (162169.151279980200343 5404581.998006593436003)",340,20,1,0
"POINT (163890.743033276579808 5404914.525874109007418)",340,20,1,0
"POINT (164118.768431064207107 5404571.606510733254254)",341,20,1,0
"POINT (164016.157002059771912 5404737.870444491505623)",341,20,1,0
"POINT (164130.169700953585561 5404571.606510733254254)",342,20,1,0
"POINT (164118.768431064207107 5404571.606510733254254)",342,20,1,0
"POINT (164130.169700953585561 5404571.606510733254254)",343,20,1,0
"POINT (164221.379860068613198 5404654.738477611914277)",343,20,1,0
"POINT (164118.768431064207107 5404561.215014874003828)",344,20,1,0
"POINT (164118.768431064207107 5404571.606510733254254)",344,20,1,0
"POINT (164380.997638519940665 5404540.43202315364033)",345,20,1,0
"POINT (164232.781129957991652 5404654.738477611914277)",345,20,1,0
"POINT (164380.997638519940665 5404540.43202315364033)",346,20,1,0
"POINT (165008.067482435842976 5404737.870444491505623)",346,20,1,0
"POINT (164118.768431064207107 5404436.517064555548131)",347,20,1,0
"POINT (164118.768431064207107 5404561.215014874003828)",347,20,1,0
"POINT (164232.781129957991652 5404405.342576975934207)",348,20,1,0
"POINT (164118.768431064207107 5404436.517064555548131)",348,20,1,0
"POINT (164232.781129957991652 5404405.342576975934207)",349,20,1,0
"POINT (164380.997638519940665 5404540.43202315364033)",349,20,1,0
"POINT (156400.108715953945648 5404363.776593536138535)",350,20,1,0
"POINT (155533.612204361066688 5404935.308865828439593)",350,20,1,0
"POINT (156628.134113741543842 5404363.776593536138535)",351,20,1,0
"POINT (156742.146812635328388 5404800.219419650733471)",351,20,1,0
"POINT (156628.134113741543842 5404353.385097676888108)",352,20,1,0
"POINT (156616.732843852165388 5404353.385097676888108)",352,20,1,0
"POINT (156628.134113741543842 5404353.385097676888108)",353,20,1,0
"POINT (156628.134113741543842 5404363.776593536138535)",353,20,1,0
"POINT (156400.108715953945648 5404363.776593536138535)",354,20,1,0
"POINT (156616.732843852165388 5404353.385097676888108)",354,20,1,0
"POINT (158087.49665958218975 5404322.210610097274184)",355,20,1,0
"POINT (157198.197608210524777 5404976.874849268235266)",355,20,1,0
"POINT (156742.146812635328388 5404800.219419650733471)",355,20,1,0
"POINT (167482.143048431287752 5404270.253130797296762)",356,20,1,0
"POINT (167117.302411971148103 5404769.044932071119547)",356,20,1,0
"POINT (167812.779875223321142 5404083.206205320544541)",357,20,1,0
"POINT (167482.143048431287752 5404270.253130797296762)",357,20,1,0
"POINT (167812.779875223321142 5404083.206205320544541)",358,20,1,0
"POINT (168622.270037369278725 5405008.04933684784919)",358,20,1,0
"POINT (162169.151279980200343 5404020.857230161316693)",359,20,1,0
"POINT (162169.151279980200343 5404581.998006593436003)",359,20,1,0
"POINT (158931.190631396311801 5403979.29124672152102)",360,20,1,0
"POINT (158087.49665958218975 5404322.210610097274184)",360,20,1,0
"POINT (158931.190631396311801 5403979.29124672152102)",361,20,1,0
"POINT (159033.802060400717892 5404800.219419650733471)",361,20,1,0
"POINT (163560.106206484575523 5403885.767783982679248)",362,20,1,0
"POINT (164118.768431064207107 5404436.517064555548131)",362,20,1,0
"POINT (166638.449076617165701 5403885.767783982679248)",363,20,1,0
"POINT (165885.965263918100391 5405091.181303726509213)",363,20,1,0
"POINT (166649.850346506544156 5403885.767783982679248)",364,20,1,0
"POINT (166638.449076617165701 5403885.767783982679248)",364,20,1,0
"POINT (166649.850346506544156 5403885.767783982679248)",365,20,1,0
"POINT (167482.143048431287752 5404270.253130797296762)",365,20,1,0
"POINT (151258.13599584356416 5403875.376288123428822)",366,20,1,0
"POINT (151258.13599584356416 5403937.72526328265667)",366,20,1,0
"POINT (166638.449076617165701 5403875.376288123428822)",367,20,1,0
"POINT (166638.449076617165701 5403885.767783982679248)",367,20,1,0
"POINT (162169.151279980200343 5404020.857230161316693)",368,20,1,0
"POINT (163560.106206484575523 5403885.767783982679248)",368,20,1,0
"POINT (164335.392558962426847 5403864.984792263247073)",369,20,1,0
"POINT (164232.781129957991652 5404405.342576975934207)",369,20,1,0
"POINT (166638.449076617165701 5403854.593296403996646)",370,20,1,0
"POINT (166638.449076617165701 5403875.376288123428822)",370,20,1,0
"POINT (163890.743033276579808 5403844.201800543814898)",371,20,1,0
"POINT (163560.106206484575523 5403885.767783982679248)",371,20,1,0
"POINT (163902.144303165987367 5403844.201800543814898)",372,20,1,0
"POINT (163890.743033276579808 5403844.201800543814898)",372,20,1,0
"POINT (163902.144303165987367 5403844.201800543814898)",373,20,1,0
"POINT (164335.392558962426847 5403864.984792263247073)",373,20,1,0
"POINT (166638.449076617165701 5403844.201800543814898)",374,20,1,0
"POINT (166638.449076617165701 5403854.593296403996646)",374,20,1,0
"POINT (166649.850346506544156 5403844.201800543814898)",375,20,1,0
"POINT (166638.449076617165701 5403844.201800543814898)",375,20,1,0
"POINT (163890.743033276579808 5403833.810304683633149)",376,20,1,0
"POINT (163890.743033276579808 5403844.201800543814898)",376,20,1,0
"POINT (161633.291595179354772 5403823.418808824382722)",377,20,1,0
"POINT (161621.890325289976317 5403823.418808824382722)",377,20,1,0
"POINT (161633.291595179354772 5403823.418808824382722)",378,20,1,0
"POINT (161336.85857805548585 5404581.998006593436003)",378,20,1,0
"POINT (162077.941120865172707 5403823.418808824382722)",379,20,1,0
"POINT (162066.539850975794252 5403823.418808824382722)",379,20,1,0
"POINT (162077.941120865172707 5403823.418808824382722)",380,20,1,0
"POINT (162169.151279980200343 5404020.857230161316693)",380,20,1,0
"POINT (161633.291595179354772 5403813.027312964200974)",381,20,1,0
"POINT (161633.291595179354772 5403823.418808824382722)",381,20,1,0
"POINT (162077.941120865172707 5403813.027312964200974)",382,20,1,0
"POINT (162077.941120865172707 5403823.418808824382722)",382,20,1,0
"POINT (160880.807782480260357 5403771.461329524405301)",383,20,1,0
"POINT (161621.890325289976317 5403823.418808824382722)",383,20,1,0
"POINT (151121.320757170993602 5403750.678337804973125)",384,20,1,0
"POINT (151258.13599584356416 5403875.376288123428822)",384,20,1,0
"POINT (161690.297944626247045 5403750.678337804973125)",385,20,1,0
"POINT (161633.291595179354772 5403813.027312964200974)",385,20,1,0
"POINT (151109.919487281615147 5403740.286841944791377)",386,20,1,0
"POINT (150893.295359383395407 5403864.984792263247073)",386,20,1,0
"POINT (151121.320757170993602 5403740.286841944791377)",387,20,1,0
"POINT (151109.919487281615147 5403740.286841944791377)",387,20,1,0
"POINT (151121.320757170993602 5403740.286841944791377)",388,20,1,0
"POINT (151121.320757170993602 5403750.678337804973125)",388,20,1,0
"POINT (161690.297944626247045 5403740.286841944791377)",389,20,1,0
"POINT (161690.297944626247045 5403750.678337804973125)",389,20,1,0
"POINT (161701.699214515625499 5403740.286841944791377)",390,20,1,0
"POINT (161690.297944626247045 5403740.286841944791377)",390,20,1,0
"POINT (161861.316992966952967 5403740.286841944791377)",391,20,1,0
"POINT (161701.699214515625499 5403740.286841944791377)",391,20,1,0
"POINT (161861.316992966952967 5403740.286841944791377)",392,20,1,0
"POINT (162066.539850975794252 5403823.418808824382722)",392,20,1,0
"POINT (151474.7601237417839 5403719.503850225359201)",393,20,1,0
"POINT (151258.13599584356416 5403875.376288123428822)",393,20,1,0
"POINT (151474.7601237417839 5403709.112354365177453)",394,20,1,0
"POINT (151474.7601237417839 5403719.503850225359201)",394,20,1,0
"POINT (151486.161393631162355 5403709.112354365177453)",395,20,1,0
"POINT (151474.7601237417839 5403709.112354365177453)",395,20,1,0
"POINT (151383.54996462672716 5403625.980387486517429)",396,20,1,0
"POINT (151121.320757170993602 5403740.286841944791377)",396,20,1,0
"POINT (151383.54996462672716 5403625.980387486517429)",397,20,1,0
"POINT (151474.7601237417839 5403709.112354365177453)",397,20,1,0
"POINT (160299.343018121900968 5403625.980387486517429)",398,20,1,0
"POINT (160880.807782480260357 5403771.461329524405301)",398,20,1,0
"POINT (162089.342390754551161 5403625.980387486517429)",399,20,1,0
"POINT (161861.316992966952967 5403740.286841944791377)",399,20,1,0
"POINT (162089.342390754551161 5403625.980387486517429)",400,20,1,0
"POINT (162077.941120865172707 5403813.027312964200974)",400,20,1,0
"POINT (158064.694119803403737 5403542.848420607857406)",401,20,1,0
"POINT (156628.134113741543842 5404353.385097676888108)",401,20,1,0
"POINT (158064.694119803403737 5403542.848420607857406)",402,20,1,0
"POINT (158087.49665958218975 5404322.210610097274184)",402,20,1,0
"POINT (151531.766473188676173 5403490.890941308811307)",403,20,1,0
"POINT (151383.54996462672716 5403625.980387486517429)",403,20,1,0
"POINT (151543.167743078054627 5403490.890941308811307)",404,20,1,0
"POINT (151531.766473188676173 5403490.890941308811307)",404,20,1,0
"POINT (151543.167743078054627 5403490.890941308811307)",405,20,1,0
"POINT (151486.161393631162355 5403709.112354365177453)",405,20,1,0
"POINT (151531.766473188676173 5403480.499445448629558)",406,20,1,0
"POINT (151531.766473188676173 5403490.890941308811307)",406,20,1,0
"POINT (159261.827458188316086 5403459.716453729197383)",407,20,1,0
"POINT (158931.190631396311801 5403979.29124672152102)",407,20,1,0
"POINT (159261.827458188316086 5403459.716453729197383)",408,20,1,0
"POINT (160299.343018121900968 5403625.980387486517429)",408,20,1,0
"POINT (162112.14493053330807 5403459.716453729197383)",409,20,1,0
"POINT (162089.342390754551161 5403625.980387486517429)",409,20,1,0
"POINT (159250.426188298937632 5403449.324957869015634)",410,20,1,0
"POINT (159261.827458188316086 5403459.716453729197383)",410,20,1,0
"POINT (164027.558271949150367 5403428.541966149583459)",411,20,1,0
