WKT,cat,capacity,origin_rd,origin_pt0
"POINT (169260.741151174588595 5408800.945325694046915)",47,20,1,0
"POINT (159478.451586086535826 5408707.421862956136465)",48,20,1,0
"POINT (159478.451586086535826 5408728.20485467556864)",48,20,1,0
"POINT (159478.451586086535826 5408697.030367095954716)",49,20,1,0
"POINT (159478.451586086535826 5408707.421862956136465)",49,20,1,0
"POINT (159489.852855975914281 5408697.030367095954716)",50,20,1,0
"POINT (159478.451586086535826 5408697.030367095954716)",50,20,1,0
"POINT (153036.734098586835898 5408790.553829834796488)",51,20,1,0
"POINT (153515.587433940789197 5408717.813358815386891)",51,20,1,0
"POINT (169579.976708077214425 5408665.855879516340792)",52,20,1,0
"POINT (169272.142421063967049 5408800.945325694046915)",52,20,1,0
"POINT (169579.976708077214425 5408665.855879516340792)",53,20,1,0
"POINT (169819.403375754191075 5408728.20485467556864)",53,20,1,0
"POINT (165429.914468342904001 5408354.111003721132874)",54,20,1,0
"POINT (166923.480823851685273 5409507.567044164985418)",54,20,1,0
"POINT (165475.51954790041782 5408312.545020281337202)",55,20,1,0
"POINT (165429.914468342904001 5408354.111003721132874)",55,20,1,0
"POINT (170970.931634581560502 5408312.545020281337202)",56,20,1,0
"POINT (169830.804645643569529 5408728.20485467556864)",56,20,1,0
"POINT (165464.118278011039365 5408250.196045122109354)",57,20,1,0
"POINT (165475.51954790041782 5408312.545020281337202)",57,20,1,0
"POINT (165065.073831882735249 5408198.238565823063254)",58,20,1,0
"POINT (165429.914468342904001 5408354.111003721132874)",58,20,1,0
"POINT (159592.464284980349476 5408177.455574102699757)",59,20,1,0
"POINT (159478.451586086535826 5408697.030367095954716)",59,20,1,0
"POINT (159592.464284980349476 5408177.455574102699757)",60,20,1,0
"POINT (159489.852855975914281 5408697.030367095954716)",60,20,1,0
"POINT (160903.61032225904637 5407969.62565690651536)",61,20,1,0
"POINT (160766.795083586475812 5410692.197572188451886)",61,20,1,0
"POINT (160903.61032225904637 5407959.234161046333611)",62,20,1,0
"POINT (160903.61032225904637 5407969.62565690651536)",62,20,1,0
"POINT (160915.011592148424825 5407959.234161046333611)",63,20,1,0
"POINT (160903.61032225904637 5407959.234161046333611)",63,20,1,0
"POINT (160915.011592148424825 5407959.234161046333611)",64,20,1,0
"POINT (161325.457308166107396 5408177.455574102699757)",64,20,1,0
"POINT (161690.297944626247045 5409715.396961362101138)",64,20,1,0
"POINT (164495.01033741372521 5407959.234161046333611)",65,20,1,0
"POINT (165065.073831882735249 5408198.238565823063254)",65,20,1,0
"POINT (170400.868140112579567 5407917.668177606537938)",66,20,1,0
"POINT (169579.976708077214425 5408665.855879516340792)",66,20,1,0
"POINT (159592.464284980349476 5407896.885185887105763)",67,20,1,0
"POINT (159592.464284980349476 5408177.455574102699757)",67,20,1,0
"POINT (159592.464284980349476 5407886.493690026924014)",68,20,1,0
"POINT (159581.063015090941917 5407886.493690026924014)",68,20,1,0
"POINT (159592.464284980349476 5407886.493690026924014)",69,20,1,0
"POINT (159592.464284980349476 5407896.885185887105763)",69,20,1,0
"POINT (159649.470634427241748 5407834.536210727877915)",70,20,1,0
"POINT (159592.464284980349476 5407886.493690026924014)",70,20,1,0
"POINT (159660.871904316620203 5407834.536210727877915)",71,20,1,0
"POINT (159649.470634427241748 5407834.536210727877915)",71,20,1,0
"POINT (154211.064897192991339 5407824.144714867696166)",72,20,1,0
"POINT (154610.109343321266351 5408873.685796713456511)",72,20,1,0
"POINT (154461.892834759346442 5409310.128622827120125)",72,20,1,0
"POINT (154051.447118741663871 5409372.477597986347973)",72,20,1,0
"POINT (153937.434419847850222 5409975.184357858262956)",72,20,1,0
"POINT (159649.470634427241748 5407824.144714867696166)",73,20,1,0
"POINT (159649.470634427241748 5407834.536210727877915)",73,20,1,0
"POINT (159957.304921440489125 5407803.361723148263991)",74,20,1,0
"POINT (159660.871904316620203 5407834.536210727877915)",74,20,1,0
"POINT (159957.304921440489125 5407803.361723148263991)",75,20,1,0
"POINT (160105.521430002438137 5408873.685796713456511)",75,20,1,0
"POINT (160743.992543807718903 5407803.361723148263991)",76,20,1,0
"POINT (160903.61032225904637 5407959.234161046333611)",76,20,1,0
"POINT (155396.79696568849613 5407699.446764550171793)",77,20,1,0
"POINT (155396.79696568849613 5407751.404243849217892)",77,20,1,0
"POINT (155396.79696568849613 5407689.055268689990044)",78,20,1,0
"POINT (155385.395695799117675 5407689.055268689990044)",78,20,1,0
"POINT (155396.79696568849613 5407689.055268689990044)",79,20,1,0
"POINT (155396.79696568849613 5407699.446764550171793)",79,20,1,0
"POINT (159296.03126785645145 5407689.055268689990044)",80,20,1,0
"POINT (158965.394441064447165 5408156.672582383267581)",80,20,1,0
"POINT (158520.74491537862923 5408177.455574102699757)",80,20,1,0
"POINT (158326.923327259166399 5408904.860284293070436)",80,20,1,0
"POINT (159296.03126785645145 5407678.663772829808295)",81,20,1,0
"POINT (159296.03126785645145 5407689.055268689990044)",81,20,1,0
"POINT (159307.432537745829904 5407678.663772829808295)",82,20,1,0
"POINT (159296.03126785645145 5407678.663772829808295)",82,20,1,0
"POINT (159307.432537745829904 5407678.663772829808295)",83,20,1,0
"POINT (159581.063015090941917 5407886.493690026924014)",83,20,1,0
"POINT (155180.17283779027639 5407668.272276970557868)",84,20,1,0
"POINT (154849.536010998243 5409351.694606266915798)",84,20,1,0
"POINT (155180.17283779027639 5407668.272276970557868)",85,20,1,0
"POINT (155385.395695799117675 5407689.055268689990044)",85,20,1,0
"POINT (153937.434419847850222 5407605.92330181133002)",86,20,1,0
"POINT (154211.064897192991339 5407824.144714867696166)",86,20,1,0
"POINT (155157.37029801151948 5407595.531805951148272)",87,20,1,0
"POINT (155180.17283779027639 5407668.272276970557868)",87,20,1,0
"POINT (155716.032522591151064 5407595.531805951148272)",88,20,1,0
"POINT (155396.79696568849613 5407689.055268689990044)",88,20,1,0
"POINT (155716.032522591151064 5407595.531805951148272)",89,20,1,0
"POINT (155499.408394692931324 5409175.039176649414003)",89,20,1,0
"POINT (154849.536010998243 5409351.694606266915798)",89,20,1,0
"POINT (160641.381114803283708 5407595.531805951148272)",90,20,1,0
"POINT (159957.304921440489125 5407803.361723148263991)",90,20,1,0
"POINT (160641.381114803283708 5407595.531805951148272)",91,20,1,0
